"id","year","age","class","degree","sex","marital","race","region","happy","relig","cappun","finalter","natspac","natarms","conclerg","confed","conpress","conjudge","consci","conlegis","zodiac","oversamp","postlife","party"
6,2016,"53","MIDDLE CLASS","JUNIOR COLLEGE","FEMALE","MARRIED","WHITE","eastern","HAPPY","NONE","OPPOSE","STAYED SAME","ABOUT RIGHT","TOO MUCH","HARDLY ANY","ONLY SOME","HARDLY ANY","ONLY SOME","High","HARDLY ANY","SCORPIO",1,"YES","Dem"
98,2016,"25","MIDDLE CLASS","BACHELOR","MALE","NEVER MARRIED","BLACK","eastern","HAPPY","PROTESTANT","OPPOSE","BETTER","TOO LITTLE","TOO MUCH","HARDLY ANY","ONLY SOME","A GREAT DEAL","ONLY SOME","High","HARDLY ANY","SCORPIO",1,"YES","Ind"
2673,2016,"29","LOWER CLASS","LT HIGH SCHOOL","FEMALE","NEVER MARRIED","OTHER","central","UNHAPPY","PROTESTANT","OPPOSE","STAYED SAME","ABOUT RIGHT","ABOUT RIGHT","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY","High","ONLY SOME","VIRGO",1,"YES","Dem"
1435,2016,"58","WORKING CLASS","LT HIGH SCHOOL","MALE","NEVER MARRIED","WHITE","central","HAPPY","NONE","OPPOSE","STAYED SAME","ABOUT RIGHT","TOO LITTLE","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","High","HARDLY ANY","CAPRICORN",1,"NO","Dem"
1535,2016,"69","WORKING CLASS","HIGH SCHOOL","FEMALE","MARRIED","WHITE","eastern","HAPPY","CATHOLIC","OPPOSE","STAYED SAME","TOO MUCH","ABOUT RIGHT","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME","High","ONLY SOME","SCORPIO",1,"YES","Ind"
525,2016,"85","UPPER CLASS","GRADUATE","MALE","MARRIED","WHITE","pacific","HAPPY","NONE","OPPOSE","BETTER","ABOUT RIGHT","TOO MUCH","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","High","ONLY SOME","GEMINI",1,"NO","Dem"
2784,2016,"33","MIDDLE CLASS","HIGH SCHOOL","FEMALE","NEVER MARRIED","BLACK","central","HAPPY","PROTESTANT","OPPOSE","WORSE","TOO MUCH","ABOUT RIGHT","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","High","HARDLY ANY","GEMINI",1,"YES","Dem"
1765,2016,"44","WORKING CLASS","HIGH SCHOOL","FEMALE","DIVORCED","BLACK","eastern","HAPPY","PROTESTANT","OPPOSE","STAYED SAME","TOO MUCH","TOO LITTLE","A GREAT DEAL","HARDLY ANY","HARDLY ANY","HARDLY ANY","High","ONLY SOME","SCORPIO",1,"YES","Rep"
163,2016,"61","LOWER CLASS","HIGH SCHOOL","FEMALE","DIVORCED","WHITE","pacific","UNHAPPY","CATHOLIC","OPPOSE","STAYED SAME","TOO LITTLE","TOO LITTLE","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","High","HARDLY ANY","SCORPIO",1,"YES","Dem"
1859,2016,"71","MIDDLE CLASS","GRADUATE","FEMALE","WIDOWED","WHITE","central","HAPPY","NONE","OPPOSE","WORSE","TOO MUCH","TOO LITTLE","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","High","HARDLY ANY","LEO",1,"NO","Dem"
2497,2016,"43","WORKING CLASS","LT HIGH SCHOOL","FEMALE","MARRIED","WHITE","pacific","HAPPY","CATHOLIC","OPPOSE","STAYED SAME","TOO MUCH","ABOUT RIGHT","HARDLY ANY","ONLY SOME","HARDLY ANY","ONLY SOME","High","ONLY SOME","ARIES",1,"YES","Ind"
1780,2016,"58","LOWER CLASS","HIGH SCHOOL","FEMALE","DIVORCED","BLACK","eastern","UNHAPPY","PROTESTANT","OPPOSE","WORSE","TOO MUCH","TOO LITTLE","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","High","HARDLY ANY","CAPRICORN",1,"YES","Ind"
184,2016,"32","WORKING CLASS","LT HIGH SCHOOL","MALE","NEVER MARRIED","BLACK","pacific","UNHAPPY","NONE","OPPOSE","STAYED SAME","TOO MUCH","TOO MUCH","ONLY SOME","HARDLY ANY","ONLY SOME","A GREAT DEAL","High","A GREAT DEAL","CANCER",1,"NO","Ind"
575,2016,"38","WORKING CLASS","HIGH SCHOOL","MALE","SEPARATED","WHITE","central","UNHAPPY","CATHOLIC","OPPOSE","WORSE","TOO MUCH","ABOUT RIGHT","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","High","ONLY SOME","SAGITTARIUS",1,"YES","Dem"
2781,2016,"42","WORKING CLASS","LT HIGH SCHOOL","MALE","MARRIED","BLACK","central","HAPPY","PROTESTANT","OPPOSE","STAYED SAME","ABOUT RIGHT","TOO LITTLE","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME","High","HARDLY ANY","AQUARIUS",1,"YES","Dem"
2310,2016,"55","WORKING CLASS","LT HIGH SCHOOL","MALE","MARRIED","WHITE","central","HAPPY","NONE","OPPOSE","WORSE","TOO MUCH","TOO MUCH","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","High","ONLY SOME","ARIES",1,"NO","Ind"
1677,2016,"30","LOWER CLASS","LT HIGH SCHOOL","FEMALE","DIVORCED","WHITE","eastern","HAPPY","NONE","OPPOSE","WORSE","ABOUT RIGHT","TOO MUCH","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","High","HARDLY ANY","LEO",1,"NO","Ind"
2478,2016,"61","MIDDLE CLASS","GRADUATE","MALE","MARRIED","WHITE","pacific","HAPPY","BUDDHISM","OPPOSE","BETTER","TOO LITTLE","TOO MUCH","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","High","HARDLY ANY","TAURUS",1,"NO","Dem"
1226,2016,"52","WORKING CLASS","HIGH SCHOOL","FEMALE","MARRIED","WHITE","eastern","HAPPY","CATHOLIC","OPPOSE","WORSE","TOO MUCH","ABOUT RIGHT","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME","High","ONLY SOME","LEO",1,"YES","Rep"
2350,2016,"54","MIDDLE CLASS","HIGH SCHOOL","FEMALE","MARRIED","WHITE","mountain","HAPPY","CATHOLIC","OPPOSE","WORSE","ABOUT RIGHT","TOO LITTLE","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY","High","HARDLY ANY","LEO",1,"YES","Rep"
1139,2016,"48","MIDDLE CLASS","HIGH SCHOOL","FEMALE","MARRIED","WHITE","eastern","HAPPY","NONE","FAVOR","STAYED SAME","ABOUT RIGHT","TOO MUCH","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","Low","HARDLY ANY","VIRGO",1,"NO","Rep"
1635,2016,"30","WORKING CLASS","JUNIOR COLLEGE","FEMALE","DIVORCED","WHITE","eastern","HAPPY","INTER-NONDENOMINATIONAL","FAVOR","BETTER","TOO MUCH","ABOUT RIGHT","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME","Low","ONLY SOME","CANCER",1,"YES","Ind"
1350,2016,"27","MIDDLE CLASS","BACHELOR","MALE","DIVORCED","WHITE","central","UNHAPPY","NONE","FAVOR","STAYED SAME","ABOUT RIGHT","ABOUT RIGHT","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY","Low","HARDLY ANY","TAURUS",1,"YES","Ind"
