"id","year","age","class","degree","sex","marital","race","region","partyid","happy","relig","cappun","finalter","natspac","natarms","conclerg","confed","conpress","conjudge","consci","conlegis","zodiac","oversamp","postlife"
518,1982,"49","WORKING CLASS","HIGH SCHOOL","MALE","MARRIED","WHITE","MIDDLE ATLANTIC","NOT STR REPUBLICAN","HAPPY","PROTESTANT","FAVOR","WORSE","TOO MUCH","ABOUT RIGHT","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY","1","ONLY SOME","LEO",1.235,NA
1092,1982,"22","WORKING CLASS","HIGH SCHOOL","MALE","NEVER MARRIED","WHITE","E. SOU. CENTRAL","IND,NEAR DEM","HAPPY","CATHOLIC","OPPOSE","BETTER","ABOUT RIGHT","TOO MUCH","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","ONLY SOME","2","ONLY SOME","CANCER",1.235,NA
2094,1982,"26","WORKING CLASS","HIGH SCHOOL","MALE","NEVER MARRIED","BLACK","PACIFIC","NOT STR DEMOCRAT","HAPPY","CATHOLIC","FAVOR","BETTER","TOO MUCH","TOO MUCH","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME","1","ONLY SOME","LEO",0.3778,NA
229,1982,"75","LOWER CLASS","LT HIGH SCHOOL","MALE","DIVORCED","WHITE","E. NOR. CENTRAL","NOT STR REPUBLICAN","HAPPY","PROTESTANT","FAVOR","BETTER","TOO MUCH","TOO LITTLE","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY","1","HARDLY ANY","GEMINI",1.235,NA
979,1982,"71","WORKING CLASS","LT HIGH SCHOOL","FEMALE","WIDOWED","WHITE","W. NOR. CENTRAL","NOT STR REPUBLICAN","HAPPY","PROTESTANT","OPPOSE","STAYED SAME","ABOUT RIGHT","TOO LITTLE","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","2","ONLY SOME","PISCES",1.235,NA
554,1982,"33","WORKING CLASS","HIGH SCHOOL","FEMALE","MARRIED","WHITE","E. NOR. CENTRAL","IND,NEAR DEM","HAPPY","PROTESTANT","FAVOR","BETTER","ABOUT RIGHT","TOO LITTLE","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","1","ONLY SOME","ARIES",1.235,NA
491,1982,"56","MIDDLE CLASS","LT HIGH SCHOOL","MALE","MARRIED","WHITE","MIDDLE ATLANTIC","STRONG REPUBLICAN","HAPPY","CATHOLIC","OPPOSE","STAYED SAME","TOO MUCH","TOO LITTLE","A GREAT DEAL","HARDLY ANY","HARDLY ANY","ONLY SOME","2","HARDLY ANY","VIRGO",1.235,NA
319,1982,"33","WORKING CLASS","LT HIGH SCHOOL","FEMALE","SEPARATED","BLACK","SOUTH ATLANTIC","NOT STR DEMOCRAT","HAPPY","PROTESTANT","OPPOSE","WORSE","TOO MUCH","ABOUT RIGHT","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY","2","HARDLY ANY","SCORPIO",0.3778,NA
3143,1982,"69","WORKING CLASS","LT HIGH SCHOOL","FEMALE","MARRIED","BLACK","E. SOU. CENTRAL","NOT STR DEMOCRAT","HAPPY","PROTESTANT","FAVOR","BETTER","TOO MUCH","TOO LITTLE","A GREAT DEAL","ONLY SOME","ONLY SOME","A GREAT DEAL","1","A GREAT DEAL","SAGITTARIUS",0.3778,NA
1455,1982,"40","MIDDLE CLASS","HIGH SCHOOL","MALE","MARRIED","WHITE","SOUTH ATLANTIC","NOT STR REPUBLICAN","HAPPY","CATHOLIC","FAVOR","STAYED SAME","ABOUT RIGHT","ABOUT RIGHT","ONLY SOME","ONLY SOME","HARDLY ANY","A GREAT DEAL","1","ONLY SOME","CAPRICORN",1.235,NA
178,1982,"44","WORKING CLASS","LT HIGH SCHOOL","FEMALE","DIVORCED","WHITE","E. NOR. CENTRAL","NOT STR DEMOCRAT","HAPPY","PROTESTANT","OPPOSE","BETTER","ABOUT RIGHT","TOO MUCH","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","2","ONLY SOME","AQUARIUS",1.235,NA
742,1982,"42","MIDDLE CLASS","GRADUATE","FEMALE","MARRIED","WHITE","NEW ENGLAND","NOT STR DEMOCRAT","HAPPY","PROTESTANT","OPPOSE","WORSE","ABOUT RIGHT","TOO MUCH","ONLY SOME","ONLY SOME","A GREAT DEAL","A GREAT DEAL","2","ONLY SOME","GEMINI",1.235,NA
431,1982,"58","WORKING CLASS","HIGH SCHOOL","FEMALE","MARRIED","WHITE","PACIFIC","STRONG DEMOCRAT","HAPPY","CATHOLIC","FAVOR","STAYED SAME","TOO MUCH","TOO MUCH","A GREAT DEAL","ONLY SOME","HARDLY ANY","A GREAT DEAL","1","A GREAT DEAL","AQUARIUS",1.235,NA
